ШГК,№,D1,CWT1,D2,CWT2,D3,CWT3,D4,CWT4,D5,CWT5
736.48,1,60.94,3.41,48.31,3,47.41,2.59,45.16,2.98,56.27,3.2
736.48,2,46.25,2.88,49.87,2.76,43.09,2.37,57.1,2.98,54.02,3.1
736.48,3,43.97,2.6,40.03,2.47,41.99,2.46,45.41,2.68,52.01,2.91
736.48,4,43.79,2.72,37.9,2.58,48.53,3.11,45.44,2.47,46.5,3
736.48,5,46.49,2.37,35.87,2.63,47.12,3.11,46.95,2.56,35.02,2.74
736.48,6,44.58,2.47,36.99,2.4,50.88,2.57,44.32,2.77,34.27,2.35
736.48,7,39.24,2.58,39.28,2.24,48.8,2.24,36.26,2.78,37.55,2.25
736.48,8,43.51,2.57,43.29,2.33,40.92,2.35,35.8,2.56,37.28,2.32
736.48,9,43.09,2.78,39.01,2.54,35.39,2.35,36.21,2.77,34.62,2.28
736.48,10,42,2.67,35.05,2.55,32.26,2.47,35.6,2.46,33.08,2.05
736.48,11,40.08,2.57,39.63,2.32,34.98,2.79,42.42,2.03,35.85,1.93
736.48,12,37.08,2.78,39.01,2.03,29.62,3.09,38.14,2.03,38.26,1.98
736.48,13,35.18,2.88,32.08,2.16,34.76,3.11,39.21,1.92,37.96,2.23
736.48,14,30.48,2.88,30.37,2.55,36.9,2.68,35.2,1.82,35.55,2.42
736.48,15,24.32,2.78,29.31,2.67,31.98,2.35,26.29,1.82,31.55,2.31
736.48,16,21.11,2.67,23.01,2.74,20.05,2.35,25.16,2.14,27.35,2.52
736.48,17,16.2,2.99,20.37,3.08,22.01,2.67,20.72,3.32,21.32,3.21
736.48,18,14.09,3.41,18.41,3.44,20.89,2.99,19.65,3.86,20.5,3.52
736.48,19,14.72,3.52,16.41,3.35,18.13,3.31,16.64,3,20.11,3.58
736.48,20,13.45,3.31,16.52,3.57,17.06,3.2,12.63,2.67,20.93,3.9
736.48,21,13.75,3.25,16.44,3.53,15.63,3.12,14.5,2.99,18.02,4.24
736.48,22,12.26,3.15,13.5,2.84,11.79,2.91,10.69,2.99,14.74,3.96
736.48,23,10.77,3,11.03,2.67,9.18,2.45,8.63,2.35,13.11,3.15
